📚 STUDY TRACKER,,,,,,,,
,,,,,,,,,
Course Name,Task Type,Task Title,Deadline,Priority,Status,Progress (%),Notes,
,,,,,,,,,
--- COURSE 1 ---,,,,,,,,,
Database Systems,Lecture Review,Review Chapter 1-3 (ER Diagrams),2026-03-25,🔴 High,🔄 In Progress,40,Focus on normalization concepts,
Database Systems,Assignment,Assignment 1 - SQL Queries,2026-03-28,🔴 High,⏳ Not Started,0,Use MySQL Workbench,
Database Systems,Assignment,Assignment 2 - Stored Procedures,2026-04-05,🟠 Medium,⏳ Not Started,0,,
Database Systems,Mid Exam Study,Mid Exam Prep - All Chapters,2026-04-10,🔴 High,⏳ Not Started,0,Focus on joins and indexing,
Database Systems,Final Exam Study,Final Exam Prep,2026-05-20,🔴 High,⏳ Not Started,0,,
,,,,,,,,,
--- COURSE 2 ---,,,,,,,,,
Software Engineering,Lecture Review,Review SDLC Models,2026-03-22,🟠 Medium,✅ Completed,100,,
Software Engineering,Assignment,UML Diagrams - Use Case,2026-03-30,🔴 High,🔄 In Progress,60,Use draw.io,
Software Engineering,Assignment,Design Document Submission,2026-04-12,🔴 High,⏳ Not Started,0,,
Software Engineering,Mid Exam Study,Mid Exam Prep,2026-04-08,🔴 High,⏳ Not Started,0,,
Software Engineering,Final Exam Study,Final Exam Prep,2026-05-22,🔴 High,⏳ Not Started,0,,
,,,,,,,,,
--- COURSE 3 ---,,,,,,,,,
Web Development,Lecture Review,HTML/CSS Review,2026-03-20,🟢 Low,✅ Completed,100,,
Web Development,Lecture Review,JavaScript DOM Review,2026-03-27,🟠 Medium,⏳ Not Started,0,,
Web Development,Assignment,Build a Responsive Page,2026-04-02,🟠 Medium,⏳ Not Started,0,Use Flexbox/Grid,
Web Development,Mid Exam Study,Mid Exam Prep,2026-04-15,🔴 High,⏳ Not Started,0,,
Web Development,Final Exam Study,Final Exam Prep,2026-05-25,🔴 High,⏳ Not Started,0,,
,,,,,,,,,
--- ADD NEW COURSE BELOW ---,,,,,,,,,
[Course Name],[Task Type],[Task Title],[Deadline],[Priority],[Status],[Progress %],[Notes],
